health science,creative expression,technology,people,organization,influence,nature,things
1.916666667,2.285714286,3.5625,2.5,2.3,1.375,2.333333333,2.875
4.666666667,4.178571429,4.375,3.95,3.85,3.71875,4.833333333,3.458333333
1.916666667,3.535714286,2.9375,2.75,3.55,2.75,2,2.541666667
4.333333333,3.785714286,4.0625,4,3.7,4.125,4,3.666666667
4.416666667,4.392857143,4.125,3.8,3.55,3.59375,4.333333333,2.916666667
2.083333333,3.821428571,2.625,2.95,1.85,3.5625,2,2.125
4.833333333,4.25,2.9375,4.6,4.35,4.21875,5,2.791666667
3.333333333,2.428571429,4,3.6,3.5,2.75,3.5,3.333333333
4.166666667,3.607142857,4.25,4.05,3.85,3.71875,4.416666667,3.583333333
2.75,2.214285714,3.875,3.15,1.6,3,2.666666667,2.333333333
2.75,1.357142857,2.375,3.3,2.7,2.15625,2.833333333,1.708333333
1.5,2.357142857,2.6875,2.05,1.1,1.34375,1.083333333,2.5
3.416666667,2.071428571,3.125,3.35,3.05,2.65625,3.083333333,2.708333333
4,3.892857143,4,4.05,3.8,3.8125,4.166666667,4.125
3.833333333,4.071428571,3.9375,3.95,3.95,3.78125,3.833333333,4.166666667
2.25,1.678571429,2.8125,3,2.1,3.0625,1.916666667,1.958333333
2.5,2.428571429,4.75,3.7,2.55,2.40625,4.583333333,4.041666667
3,2.892857143,4.5,3.5,2.8,1.9375,3.583333333,2.916666667
2.333333333,2.642857143,3.375,2.95,2.75,2.75,4.083333333,2.875
3.833333333,4.321428571,3.625,4,2.2,2.1875,4.5,2.583333333
3.416666667,4,4.0625,3.95,3.75,3.75,4.166666667,4.208333333
3.583333333,4,3.5625,3.7,3.55,3.6875,3.833333333,3.875
3.666666667,3.821428571,3.0625,2.75,3.45,4.1875,4.583333333,3.5
4.083333333,4,4.125,3.85,3.7,3.875,3.75,4.083333333
4.833333333,4.928571429,4.0625,4.8,4.8,4.71875,4.833333333,4.458333333
4,4.535714286,4.125,4.3,4.6,4.46875,4.416666667,4.291666667
4.5,2.321428571,3.4375,4.6,3.55,3.15625,3,2.5
1.166666667,1.821428571,2.5,2.6,2.5,2.09375,2.583333333,2.625
2.666666667,2.392857143,1.9375,2.4,2.2,1.84375,2.25,1.541666667
2.916666667,3.571428571,3.25,3.3,3.3,2.09375,2.916666667,2.166666667
1.166666667,1,2,1.25,1.65,1.59375,1,1.041666667
3.75,4.642857143,3.75,2.5,2,3.28125,3.333333333,2.041666667
1.666666667,2.071428571,3.1875,3,2.55,1.625,2.333333333,1.5
3.833333333,2.785714286,3.6875,3.85,1.95,2.0625,3.666666667,4.125
3.166666667,2.428571429,2.75,3.25,4.05,3.625,3.083333333,1.416666667
4.583333333,4.071428571,3.5,4.8,3.4,3.84375,5,3.958333333
3,2.964285714,3.3125,3,3.4,3.125,3.333333333,2.583333333
3.166666667,3.035714286,3,3.8,2.6,2.5,3.583333333,2.083333333
2,1.357142857,2.5625,2.6,2.55,2.59375,2.166666667,1.333333333
4.666666667,4.964285714,3.625,4.15,4.3,4.1875,4.333333333,2.958333333
4.75,3.428571429,4.0625,3.65,2.8,2.75,3.833333333,3
4,3.428571429,3.3125,2.65,3.35,2.5625,3.166666667,2.041666667
3.666666667,4.25,3.5625,3,2.05,2.5,2.833333333,2.375
3.25,4.178571429,3.4375,3.4,2.85,2.5625,2.75,2.125
2.666666667,3.357142857,3.25,3.3,3.35,3.375,2.5,2.666666667
3.083333333,3.964285714,3,3.5,2.6,1.8125,3.25,2.75
3,3.142857143,2.8125,3.1,3,2.9375,2.583333333,3.25
4.333333333,4.321428571,4.25,4.4,3.9,4.15625,4.333333333,3.916666667
1.083333333,2,2.625,2.8,4.7,2.25,2,2.416666667
2,2.928571429,2.3125,2.7,2.85,2.65625,2.416666667,1.541666667
4.75,4.142857143,2.875,3.8,4.15,3.28125,4.416666667,3.916666667
2.916666667,2.821428571,2.625,3.05,2.25,2.3125,3.333333333,1.791666667
1,2.75,2.25,1.85,3.55,1.0625,1,1.75
2.333333333,2.428571429,3.9375,4.3,3.45,2.1875,3.583333333,4.75
2.916666667,2.571428571,3,2.85,2.4,1.71875,4.583333333,2.291666667
2.666666667,2.642857143,3.8125,2.8,3.5,2.21875,3.25,3.333333333
1.333333333,2.035714286,1.9375,1.8,2,1.09375,1.5,1.5
4.25,3.071428571,3.6875,3.7,3.7,2.9375,3.833333333,3.458333333
3,3.035714286,4.125,3.9,3.5,3.75,4,3.416666667
3,3.857142857,3.8125,3.45,2.45,2.6875,3.5,3.875
1.333333333,3.785714286,2.8125,3.15,4.6,4.59375,1,2.958333333
3,3.214285714,3.6875,3.2,3.4,3.84375,3,3
1.5,3.071428571,4,4.25,3.5,1.625,2.333333333,3.041666667
3,3.5,3.3125,3.2,3.2,2.875,3,2.916666667
4.5,4.964285714,3.0625,4.65,2.95,4.125,4.333333333,2.666666667
4.583333333,4.535714286,4.3125,4.2,4.5,4.40625,4.75,3.916666667
3.083333333,3.178571429,4.0625,2.8,3.05,2.53125,3.5,3.125
3.333333333,3.107142857,3,3.7,3.35,4.125,2.833333333,2.291666667
4.666666667,4.464285714,4.3125,4.1,4.6,4.46875,4,3.875
2.75,3.214285714,3.4375,3.4,3.55,3.4375,2.833333333,3.583333333
2.333333333,3.107142857,4,4.2,5,3.8125,4,4.291666667
2.083333333,3.571428571,4.4375,2.8,3.45,4.09375,3.083333333,3.833333333
4.333333333,4.642857143,4.8125,4.55,4.55,4.5,4.416666667,4.458333333
3.583333333,4.25,4.3125,4.1,4.15,4,4.583333333,4.25
2.416666667,2.107142857,2.1875,2.4,2.6,1.9375,3.916666667,1.791666667
1.75,1.535714286,3.4375,1.8,2.35,1.90625,3.083333333,2.5
4,3.214285714,5,3.9,4.35,2.21875,3.75,3.458333333
2.333333333,3.142857143,3,3,1.9,2.84375,2.833333333,2.166666667
3.75,2.285714286,3.9375,2.35,2.95,2.3125,3.833333333,3.666666667
3.666666667,4.428571429,4.125,3.2,2,2.5625,3.833333333,2.25
2.75,3.392857143,3.4375,4.35,4.3,4.03125,4,2.541666667
3,3.785714286,2.5625,3.25,2.65,2.9375,3.333333333,2.5
2.666666667,2.5,2.875,2.95,2.75,2.21875,2.916666667,2.416666667
3.166666667,2.714285714,3.0625,2.95,3.15,3.25,3.083333333,2.708333333
4.833333333,3.75,3.8125,3.95,2.85,3.5625,3.666666667,3.416666667
4.583333333,3.25,4.4375,4.6,4.4,4.15625,4.583333333,3.833333333
3.666666667,3.571428571,3.6875,3.65,3.4,3.3125,4,3.958333333
3.5,3.821428571,3.4375,2.85,3,3.34375,3.5,2.708333333
2.333333333,2.892857143,2.875,2.8,2.15,2.21875,2.416666667,2.666666667
1.916666667,3.071428571,2.4375,3.4,2.85,3.5,2.25,2.25
2.166666667,2.5,3.6875,1.95,1.6,3.75,3.916666667,3.666666667
2.083333333,3.607142857,3.5,3.1,3.4,4.0625,2.5,3.5
3,2.821428571,3.5625,3.55,2.35,2.15625,3.083333333,3
4,1.892857143,3.3125,3.2,3.3,2.8125,4.333333333,2.041666667
4,3.785714286,3.875,4.45,4.2,4.25,4.666666667,3.666666667
4.083333333,4.5,4.25,4.4,4.3,4.3125,4.416666667,4.458333333
2.666666667,2.357142857,2.3125,3.55,2.95,2.875,3,2.833333333
4,3.892857143,4.125,3.95,3.9,3.9375,3.583333333,3.875
3.666666667,2.678571429,3.5,3.6,3.2,3.5625,3.583333333,2.541666667
3.25,2.892857143,3.125,3.6,3.5,3.15625,4.416666667,2.625
2.416666667,4.071428571,3.75,3.3,3.8,3.25,3.833333333,2.875
2.416666667,3.607142857,3.5625,3.25,3.4,2.78125,3.416666667,2.541666667
5,5,5,4.6,5,5,5,5
4,4.107142857,3.6875,4.05,4.3,4,4.083333333,3.958333333
4.583333333,4.035714286,4.4375,4.75,4.8,4.65625,4.5,3.833333333
4.5,4.535714286,4.5625,4.55,4.55,4.5,4.416666667,4.583333333
2.333333333,2.678571429,3.3125,2.9,3.4,3.5,3,2.125
4.083333333,4.392857143,4.375,4.1,4.25,4.21875,4.416666667,4.291666667
4.75,4.571428571,3.625,4.25,4.65,4.0625,4.666666667,3.25
3.833333333,4.107142857,4.3125,4.2,3.5,3.25,3.75,4.208333333
3.083333333,3.821428571,4,3.65,5,3.875,4.333333333,3.916666667
4.333333333,4.25,4.1875,4.35,4.25,4.25,4.333333333,4.208333333
5,5,4.1875,5,4.75,4.15625,4.333333333,3.75
3.666666667,3.857142857,3.875,3.4,3.9,3.4375,4.333333333,3.916666667
4.333333333,4.214285714,4.3125,4.4,4.4,4.1875,4.5,4.125
4.916666667,4.535714286,3.75,3.95,4.45,4.46875,1.666666667,2.166666667
4.5,3.035714286,2.75,3.95,4.7,3.78125,2.583333333,2.166666667
3.583333333,2.928571429,3.9375,3.55,3.45,2.4375,4.5,3.958333333
1.666666667,3.25,1.5,2.8,3.15,2.5,4.5,2.083333333
2.416666667,3.392857143,2.875,2.55,2.35,1.8125,3.75,2.333333333
4.583333333,4.607142857,4.625,4.6,4.7,4.71875,4.583333333,4.708333333
3.583333333,3.892857143,3.5625,3.85,4.2,4.09375,3.833333333,3.291666667
4.083333333,4.071428571,4,4,4.1,4,4,4
4.083333333,3.5,4,4.05,3.85,4.125,4.333333333,3.041666667
4.166666667,4.571428571,3.1875,4.3,4.85,4.625,4.166666667,3.041666667
3.833333333,3.892857143,3.875,3.1,3.4,3.375,4.583333333,3.833333333
2.833333333,4.785714286,3.5625,4.6,4.55,3.84375,3.75,2.458333333
4.166666667,3,4.1875,4.25,3.05,4.03125,3.916666667,3.583333333
2.916666667,3.107142857,3.3125,3.05,3.3,3.40625,2.75,3.208333333
3.916666667,4,4,4.1,3.6,4.40625,4.666666667,4.833333333
4.166666667,4,4,4.15,4.05,3.9375,3.833333333,3.791666667
4,3.821428571,4.3125,4.1,2.8,3.8125,4.166666667,3.333333333
3.833333333,4.428571429,4.5,3.85,4.5,4.34375,4.25,3.75
3.833333333,3.678571429,4,3.55,3.6,3.8125,3.75,3.541666667
4.5,3.535714286,4.3125,4.25,4.3,4.125,4.333333333,4.083333333
1.916666667,4.178571429,2.25,4.4,4.6,4.25,1.833333333,2.25
3.666666667,3.285714286,4,2.6,1.05,1.5,4.5,2.75
4.833333333,3.25,4.6875,4.7,4.1,4.71875,4.75,4.541666667
4,4.357142857,4,4.25,4,4.25,4.75,4.458333333
3.75,3.928571429,3.4375,3.35,3.9,3.59375,4,3.541666667
4.333333333,4.392857143,4.3125,4.4,4.45,4.34375,4.333333333,4.25
4.916666667,4.928571429,5,4.85,5,5,5,5
3.833333333,3.892857143,4,3.8,3.8,3.96875,3.833333333,3.833333333
2,2.25,3.375,2.15,2,2,3,3.125
2.333333333,2.25,2.3125,3.5,1,1.125,2.833333333,2.5
4.333333333,4.071428571,3.5625,4.7,3.15,4.34375,4,3.416666667
4.333333333,2.071428571,2.5625,3.95,3.5,2.65625,2.333333333,2.916666667
4.416666667,4.285714286,4.1875,4.3,4.55,4.25,4.083333333,4.291666667
1.166666667,2.321428571,2.4375,1.65,1.75,1.3125,3.416666667,2.291666667
5,4.928571429,4.0625,4.9,4.8,4.84375,4.916666667,4.541666667
2.916666667,4.428571429,4.3125,3.65,2.95,3.15625,3.083333333,3.5
2.75,3.178571429,2.5625,2.65,2.95,2.9375,2.75,3.125
1,1.75,2.75,1.9,1.8,2,3.666666667,3.416666667
1.916666667,3.964285714,1.75,2.75,1.15,1.84375,2.916666667,1.541666667
3.416666667,3.285714286,3.9375,3.3,3.35,3.21875,3.083333333,3.416666667
4.083333333,2.035714286,2.625,4.1,2.4,2,4.416666667,1.875
1.083333333,2.714285714,1,2.5,1,1.03125,2.416666667,1.333333333
1.833333333,2.964285714,1.75,3,3,2.09375,3.916666667,2.125
4.583333333,4.142857143,4.25,4.55,4.25,4.375,4.5,4.291666667
4.166666667,4.321428571,4.3125,4.35,4.2,4.34375,3.916666667,4.208333333
2.583333333,2.571428571,3.5625,2.9,1.6,3.09375,4.083333333,3.291666667
2.416666667,2.785714286,3.9375,3.35,4,3.59375,3.5,3.708333333
3.583333333,2.678571429,1.875,3.35,3.3,2.3125,3.166666667,2.791666667
4.416666667,3.392857143,2.5625,4.3,2.45,3.5625,3.75,2.583333333
4.166666667,2,1,3.2,1.3,1,1.166666667,1
1,1.321428571,1,4.6,2.55,2.1875,3.333333333,1
3,2.392857143,1.4375,2.9,2.2,1.125,2.583333333,1.5
4.833333333,2.678571429,2.5,3.75,2.2,1.5,3.75,2
3.166666667,4.535714286,1.3125,4.4,3.1,3.875,3.916666667,2.333333333
4.583333333,1.75,1.25,3.3,3.6,3.0625,4.583333333,1.75
4.333333333,1.892857143,2.875,2.2,2.75,2.71875,4.333333333,2.625
3.833333333,3.071428571,3,3.55,2.95,2.625,3.75,2.833333333
4.083333333,3.785714286,2.375,2.65,1.65,1.65625,4.583333333,1.625
3.833333333,3.535714286,3.3125,3.85,4,3.03125,4.083333333,3.041666667
1.583333333,1.785714286,1.0625,1.3,1,1.03125,3.166666667,1
4.416666667,3.464285714,1.25,2.85,2.25,1.78125,4.083333333,2.875
2.25,2,1.875,2.9,3.4,1.65625,1.75,2.666666667
2.416666667,3,1.9375,2.65,2.25,1.875,2.75,2.375
4,3.642857143,1.3125,3.5,3.4,2.5625,4.666666667,2.791666667
4.75,4.285714286,2,3.55,2.6,1.875,5,1.666666667
4.916666667,2.035714286,2.5625,3.3,3.1,1.78125,1.833333333,1.833333333
4.5,3.678571429,2.125,3.9,3.4,3.84375,4.833333333,3.375
4.916666667,3.571428571,3.9375,4,3.8,4.03125,3.75,2.958333333
4.25,2.857142857,1.875,2.55,2.1,2.46875,4.166666667,1.375
3.666666667,1.857142857,1.875,2.4,1.75,1.78125,1.916666667,1.5
3.333333333,3.892857143,1.25,3.85,2.15,1.9375,2.666666667,1.833333333
3.333333333,3.071428571,3.5,3,3,2.90625,3,3.375
4,2.714285714,2.5,3.95,3.6,2.5625,4,3.083333333
4.916666667,4.392857143,3.625,4.1,3.15,2.78125,4.25,2.291666667
3.916666667,4.428571429,2,4.15,1.35,2.03125,4.916666667,3
5,3.714285714,1.875,3.75,2.65,2.46875,3.916666667,2.041666667
4.416666667,4.964285714,3.3125,4.15,3.85,3.3125,2.083333333,3.375
4.25,3.964285714,3.625,3.35,3.15,2.28125,4.5,3.375
4.333333333,2.107142857,1.0625,2.65,2.3,1.84375,2.083333333,2.083333333
3.166666667,2.178571429,1.8125,2.55,2.6,2.25,2.416666667,2.083333333
4.333333333,3.428571429,1.25,2.7,1.75,1.6875,3.833333333,1.666666667
4.166666667,3.642857143,2,4.7,3.1,2.375,4.916666667,2.458333333
1.916666667,1.821428571,1.125,1.8,1.05,1.1875,3.583333333,1.708333333
3.666666667,3.821428571,2.125,3.95,3.85,3.90625,2.833333333,2.083333333
4.583333333,4.892857143,2.8125,4.75,3.75,3.71875,4.75,2.958333333
5,3.5,2.1875,3.6,3.35,2.5625,5,2.416666667
4.416666667,4.571428571,4.0625,4.55,4.35,4.28125,4.5,3.875
4.5,3.464285714,3.5,3.95,4.75,3.59375,4.833333333,3.875
3.583333333,3.392857143,2.6875,3.65,3.15,1.75,3.833333333,2.333333333
4.416666667,4.285714286,2.75,4.15,3.35,2.0625,4.333333333,2.583333333
3.333333333,2.178571429,2.5,1.6,1.6,1.375,1.5,1.25
2.666666667,1.142857143,1.5,2,3,1.46875,2.583333333,1.833333333
4.5,3.642857143,3.0625,3.65,2.55,2.5,3.25,2.958333333
4.5,4.392857143,4.375,3.8,3.5,4.40625,5,4.083333333
4.166666667,1.428571429,1.0625,3.45,2.35,1.71875,2.333333333,1.416666667
4.5,3,2.75,4.35,4,3.90625,4.333333333,3.541666667
2.333333333,2.571428571,1.6875,3.85,4.55,2.875,2.416666667,2.083333333
4.416666667,2.214285714,2.25,3.8,3.3,2.15625,3,1.75
4,2.607142857,2.1875,2.8,2.2,1.84375,4.166666667,2.541666667
1,1.857142857,1,2.65,1.45,1.0625,1,1.916666667
5,3.392857143,2.1875,3.6,3,3.21875,3.666666667,2.125
3.083333333,3.285714286,2.125,3.2,2.7,2.65625,2.916666667,1.833333333
3.083333333,2.928571429,2,3.85,4.1,1.625,1.5,1.291666667
5,2.607142857,2.6875,3.45,3.7,2.71875,4.666666667,2.333333333
3.416666667,1.928571429,1.5,3.1,3.55,2.1875,2.833333333,2.166666667
4.333333333,2.357142857,1.6875,3.35,2.65,2.03125,2.833333333,2.5
3.75,3.857142857,1.25,4.1,1.85,2.125,3,2.708333333
5,4.035714286,3.9375,3.65,1.5,3.59375,4.416666667,2.541666667
4.416666667,2,1.875,2,1.9,1.65625,1.25,2.041666667
2.75,2.785714286,3.125,2.7,2.95,3.125,2.25,2.625
3,2.714285714,2.0625,3.8,2.7,2.03125,2.666666667,2.291666667
1.833333333,2.142857143,1.25,1.9,2.2,1.375,2.25,1.208333333
2.75,2.678571429,1,3.45,3.2,2.5625,4.583333333,1.583333333
4.583333333,3.035714286,2.5625,3.3,4.2,3.65625,2.583333333,2.916666667
3.166666667,3.75,1.875,3.35,2.9,2.9375,3.333333333,1.666666667
4.833333333,3.357142857,2.3125,2.85,3.7,3.25,4.916666667,3
3.583333333,2.5,3.0625,3.3,2.85,2.625,2,1.333333333
4,2.892857143,1.8125,3.9,2.15,2.5625,3.75,1.375
4.666666667,2.678571429,1.8125,3.65,2.05,2.09375,3.666666667,1.916666667
2.666666667,2.285714286,2.5,3.05,3.15,2.65625,3.166666667,2.666666667
4.5,3.571428571,3.4375,3.65,3.6,3.59375,4,2.541666667
1,1.892857143,1.375,2.1,4.65,1.875,3.25,1.75
5,3.607142857,2.75,4.1,2,2.53125,2.916666667,2.666666667
3.833333333,2.392857143,3.25,3.1,3.4,3.09375,3,1.458333333
2,2.571428571,2,2.2,2,1.90625,3.166666667,2.916666667
5,4.964285714,5,4.95,4.85,4.875,4.916666667,4.916666667
2.833333333,3.142857143,3.3125,3.15,3,2.5625,3.083333333,3.208333333
4.916666667,4.071428571,3.875,4.15,4.3,4.125,4.25,3.833333333
5,3.5,2.3125,5,1,1.8125,3.833333333,4.416666667
5,4.321428571,4.25,4.35,4.6,4.875,3.583333333,3.166666667
3.833333333,1.535714286,2.5625,3.15,2.4,2.25,2.833333333,3.25
3.833333333,3.714285714,3.5,3.85,3.5,3.34375,5,4.375
3.333333333,3.464285714,2.5,3.6,2.35,2.46875,3.083333333,1.458333333
4.416666667,2.607142857,1.375,4.15,2.9,1.4375,4.583333333,1.625
1.833333333,2.607142857,2.5,3.4,2.1,1.65625,4.5,2.375
4.5,3.392857143,3.75,3.5,3.1,2.5,3.833333333,2.541666667
5,5,4.9375,5,5,4.96875,5,5
2.166666667,1.285714286,1,2.6,1.2,1.25,4,1.166666667
1.083333333,2.107142857,3.0625,1.95,1.55,1.25,3.75,2.208333333
4.75,4.071428571,3.3125,3.4,4.3,3.34375,4.666666667,3.125
5,2.607142857,4.1875,4.6,2.95,1.46875,4.416666667,2.166666667
4.083333333,2.571428571,3,3.5,3.5,3.0625,3.333333333,2.583333333
1,2.535714286,3,2.45,2.9,2.9375,2.5,2.666666667
4.333333333,4.392857143,4.25,4.3,4.75,4.59375,4.75,4.791666667
3,3.464285714,3.375,3.1,3.35,3.125,3.25,3.291666667
1,1.321428571,1.5,1.8,1,1.25,1.666666667,1.458333333
3.75,3.964285714,3,4.6,4.15,4.59375,4.583333333,3.5
1,1.5,1.75,1.4,1,1,3.583333333,2.25
3.416666667,3.428571429,1.875,3.55,2.95,3.09375,2.666666667,2.75
3.916666667,3.642857143,3,3.5,3.1,3.3125,4.5,3.458333333
1.916666667,3.214285714,3.5,3.2,3.25,2.8125,2.916666667,2.75
1,1.285714286,1,1,1,1,1,1
3.166666667,3.107142857,3.3125,3.35,3.3,3.34375,3.5,3.458333333
3.333333333,2.392857143,3.5,3,2.8,3,2.583333333,2.916666667
2.833333333,2.642857143,2.9375,2.9,2.4,2.15625,3.666666667,2.791666667
2,2.75,2.25,3.2,3.55,3.78125,1.666666667,2.333333333
4.583333333,4.821428571,4.5625,4.85,4.5,4.65625,4.916666667,4.833333333
4.75,4.785714286,4.75,4.75,4.75,4.8125,4.75,4.791666667
4.583333333,4.571428571,4.625,4.6,4.55,4.5625,4.583333333,4.666666667
1.5,2.678571429,2.3125,2.5,2.3,1.90625,1.583333333,2.083333333
3.666666667,1.571428571,1.5,2.8,2,3.25,4.333333333,2.5
2,3.107142857,3.0625,3.5,2.95,3.40625,2.666666667,3.375
3.666666667,3.75,3.625,3.7,3.65,3.75,3.583333333,3.541666667
2.916666667,2.857142857,2.75,3.1,2.5,2.125,3.833333333,3.166666667
2.75,1.321428571,1.4375,1.85,1,1.03125,1.75,2
2.666666667,3.535714286,3.9375,3.85,4.55,4.25,4.5,3.875
4.083333333,3.571428571,3.6875,2.85,2.6,2.03125,4.583333333,3.375
2.833333333,3,2.75,3,2.3,2.53125,3.416666667,2.916666667
4.25,4.571428571,4.25,3.95,3.95,4.25,4.583333333,4.291666667
3.5,4.392857143,4.625,2.85,3.45,4.78125,4.666666667,5
2.75,2.964285714,4.125,3.5,2.35,3.21875,3.75,4.375
1.833333333,1.75,2.1875,2.6,2.05,2.53125,3.166666667,2.708333333
1.75,3.285714286,3.5625,3.25,2.45,2.6875,4.333333333,4.125
3.333333333,3.642857143,3.1875,3.75,3.25,3.09375,3.666666667,3.166666667
