,RC1,RC2,RC8,RC3,RC4,RC6,RC7,RC5,RC9,RC10
life science,0.0295902834144833,0.66118557238793,0.131936798705953,-0.249205742677109,-0.04858253318292,-0.0719671932623139,-0.0674578290592879,-0.044222636262028,0.471852130328599,-0.0974141171112324
medical science,0.0971882548525126,0.405203519376295,0.188457517042963,0.242708215102916,0.0200945671464639,-0.120020227891684,0.0488233832969984,-0.0258135991284695,0.744041820980587,-0.0640477736619571
health care service,-0.0408345187539944,0.095433942020142,-0.0147135391895372,-0.137742459742318,0.297974098883722,0.0867119957720739,-0.00379964434080051,-0.0156878394342738,0.821938207945539,-0.0542792386231939
media,0.727138472205687,-0.160560784143473,0.225954152245752,0.0843612934851099,-0.0586555828671139,-0.0503190668560046,0.161362037427902,0.0802929419918941,-0.0930168141776814,-0.0781120891567207
applied arts and design,0.151366776529824,0.128476681262856,-0.0580791378641666,-0.29137446372349,-0.110882994509026,-0.0774882317033351,0.0990786825062971,0.685908513763672,-0.0597400917766804,0.00650327494943827
music,0.629114769460614,-0.00417130754050069,-0.171637489807385,0.232533822470006,-0.110145381432496,-0.00189278229479487,-0.0662652971113784,0.058812108898412,-0.0798451157993125,0.137681886506274
visual arts,0.541947189150481,0.210965338593928,-0.0340606043811609,0.0499146961729022,-0.0963310379280692,-0.0118580045035268,0.00141891727541302,0.549680362708305,-0.0612766156105853,-0.217205036490304
performing arts,0.72077794459279,0.157515158023715,0.0311137991055886,0.0758331317411018,0.0531208728538668,0.017413306797654,0.0769865187056732,0.256263604118182,0.24296914316761,-0.212868664917344
creative writing,0.774852830537168,0.069002889997513,0.0974755447754366,-0.103659573090367,0.0742554049776984,0.110859678450851,0.0353645085926719,0.030950291579169,-0.064418133579604,0.0775267788769764
culinary art,0.0321696867016526,-0.18004575554032,0.083397979943731,0.0672786874774193,-0.248026490518797,0.0411344891952808,-0.402731782511017,0.326148066822902,0.386321863915817,0.35371663862527
engineering,0.143738999537325,0.755245546270711,-0.122113002827827,0.115967092996953,-0.0907423596668618,0.15075451554811,0.184113268425885,0.182085525315183,0.0399656620930805,0.0718577309909845
physical science,-0.0824193479572374,0.70816444261877,-0.0828099756434254,0.0520073422113085,-0.219353364344659,-0.0436813046467923,-0.187431493443637,0.0389221645570477,0.0494188899630858,-0.176200502645717
information technology,0.334726064765244,0.379882740459408,0.107840525444116,-0.439725144995683,0.125065396757253,0.192234712450918,0.340116363413088,0.104195724929115,0.0879416346262235,-0.108723893323002
mathematics or statistics,-0.246727329121124,0.159849655099895,-0.0517269714693178,-0.297523004180874,-0.370354902773636,0.00996297424089874,0.190598054458685,-0.339945345254101,-0.0217894264523813,-0.385841668860944
social science,0.154370033639031,0.265680034814092,0.498228431978974,-0.347448989242155,0.0710202079619896,-0.256940607155228,0.0168125083416727,-0.231103430425908,0.1134186374847,-0.407442397711634
humanities or foreign language,-0.218366968189826,-0.356199266885614,-0.0295112321113765,0.0253832046718629,-0.34785211757696,-0.510975265908791,0.165113532551609,-0.197237158604122,-0.0516634727278877,-0.0878210671433466
teaching or education,-0.218491914893597,-0.421936707088616,-0.228443891889746,-0.0512632657390551,-0.18491917164091,-0.499135089541483,0.0851274976569653,-0.305923775355936,-0.0650750482937616,0.140659319311161
social service,0.140991261310618,-0.069946831173344,0.113115869592702,-0.305500381048562,0.683075394314813,-0.163809302026954,-0.0475388356990498,-0.20946014844091,0.225546465538803,-0.0596368537880823
religious activities,-0.0567924932971208,-0.030930052783467,0.127355748633395,0.150345214035216,0.0116340054067394,-0.182341551337228,-0.0462444996227096,-0.139035561621191,-0.0738916898077335,0.740339168532697
human resources,-0.00237181227098615,0.091402392148265,0.302824350734268,-0.550591568284731,0.388164220870548,0.353470162295863,0.0132370336246643,-0.122141411226092,-0.0379650827689856,-0.0197648577548445
personal service,-0.043719169518698,-0.355080472696753,0.055387628543217,-0.176456010184281,0.626513645778631,0.0847719158369759,-0.0758542979186645,0.0807339979635319,0.0342215364436194,0.282892790165414
accounting,-0.0313577290038832,0.0882551017273305,0.196724383892551,-0.0206529521279275,-0.143851263481744,0.75680672606894,0.141777938061737,-0.119804542115266,-0.00726646750046701,-0.130460586477836
office work,0.0602450571509613,0.0228934082427576,0.559202302313319,0.324794536915047,-0.122983786485495,0.17849167653249,0.247287024726729,0.286517551793548,-0.0201249348880546,-0.113281639136507
finance,0.187420451453418,0.157315587049365,0.507639901289557,0.174166432782556,-0.0947954428899619,0.468585486776102,0.241179513106663,-0.245334218938129,-0.110115052816565,0.104231615680664
management or administration,-0.0613035522889905,-0.25288349901613,-0.265394184350537,-0.0983037296631117,-0.114663140051328,-0.0055978198588285,0.272401264823861,-0.534583550291144,-0.0574767540105302,0.0285714421576239
business initiatives,0.0843044923373378,0.183201654435455,0.621219700525882,0.0253725918666162,0.0471450506846809,0.180040950270638,0.212215293455846,-0.00322123191910745,-0.0568095718092246,0.335932874032471
marketing or advertising,0.113913696245254,-0.620159116549879,-0.212699120295219,-0.119125546727565,-0.27794129271095,0.101449760202463,0.228893072303137,-0.152904022585338,-0.0830891324588607,-0.0999652588555041
professional advising,-0.119326705372681,-0.176176227381425,0.706704971558296,-0.155959507901729,0.141274195489557,0.121468101189556,0.0216647638935689,0.0905527935599208,0.0703232756707699,0.0485202559230374
public speaking,0.494128876602122,-0.365358878924851,0.435407220491169,0.238230260668768,-0.0480644130377739,-0.0606447400849213,0.013709945179725,0.0243024395924586,-0.0389816618981338,-0.0800806362425414
sales,-0.0146429891936606,-0.358825772752214,0.0530943094224198,0.0133150807909528,-0.0972871238452992,0.774675008241404,-0.0442314331779038,-0.0541840116706591,-0.00285242893608256,-0.00671166601415125
politics,0.0841646858195494,0.0438922306784363,0.281953712921111,0.480958975071657,0.0845922101388082,0.0936162354662693,0.170877462332874,-0.364491461147903,-0.283976834944411,0.362574004038892
law,0.159799668249413,0.101199870936396,0.0672136483412925,0.818433601490849,0.0394251213748993,0.0551218926733067,0.0260157722119752,-0.0539233478543006,0.0372397268205836,0.0952494243143576
agriculture,-0.201934691691826,0.263604202971565,-0.0807360102935527,-0.0285095021614528,-0.195966924588439,0.0520923497525224,-0.683538640386278,-0.0423242581605901,0.0843259718722008,0.160755626556792
outdoors,0.0426914292330556,0.15070125111457,-0.185780482998742,-0.00614419757029616,0.185643292500705,-0.0182696449885563,-0.635584050899663,0.163452708960386,-0.357341163999152,0.0566119227029231
animal service,-0.0596550769635452,-0.113858475716258,0.0133133096209515,0.0707394201628403,0.351470321870167,-0.132469907126524,-0.60367861788814,0.0234692990237251,0.086687063974469,-0.216888497003087
mechanics or electronics,-0.330512442761339,0.0575987113392611,-0.56206717556554,0.0174147162124629,-0.192097990154633,-0.0968553670884227,0.370733249130854,0.131847658728895,-0.215428490484166,-0.0426346492575354
transportation or machine operation,-0.521572542943899,0.0392018827667531,-0.595602082024809,0.00605225713208745,-0.100774353069774,0.0188236348186096,0.0803920648741547,0.113802981485092,-0.166112532289049,-0.143869094249436
construction or woodwork,-0.545653014241918,-0.0495249537673303,-0.250664939104655,0.0483326087820188,-0.069657776597728,-0.123593009115438,-0.0651468979525826,0.392120025005876,-0.280664988481881,-0.0584025266817358
physical or manual labor,-0.400203631848891,-0.282301114848883,-0.495141216633289,0.0502486642731431,-0.121572244253195,-0.27525982635646,0.0170965527265035,-0.143881459538579,-0.206276087872426,0.0830812262168782
athletics,0.274301528560616,0.248262611583518,-0.0708970829496211,0.442438709790649,0.103541931900486,0.0845781673346135,-0.266511395055789,-0.199857878880839,-0.0195543646880227,0.144156878576422
protective service,-0.0959709539690826,0.141205120155103,0.0788831746914989,0.306486324837809,0.706709191127936,-0.0699758011192735,-0.0244594892957835,-0.0384008507814972,0.0609227195054656,-0.0833471947955318
